index,time,delta_freq,event,power,f0
5310,106.2,-0.142851,0,315,50
5325,106.5,-0.142211,0,315,50
5340,106.8,-0.139244,0,315,50
5355,107.1,-0.13628,0,315,50
5370,107.4,-0.135067,0,315,50
5385,107.7,-0.131796,0,315,50
5400,108,-0.132172,0,315,50
5415,108.3,-0.127834,0,315,50
5430,108.6,-0.128026,0,315,50
5445,108.9,-0.125963,0,315,50
5460,109.2,-0.124344,0,315,50
5475,109.5,-0.125093,0,315,50
5490,109.8,-0.123706,0,315,50
5505,110.1,-0.124438,0,315,50
5520,110.4,-0.125091,0,315,50
5535,110.7,-0.126219,0,315,50
5550,111,-0.128125,0,315,50
5565,111.3,-0.129308,0,315,50
5580,111.6,-0.131169,0,315,50
5595,111.9,-0.135836,0,315,50
5610,112.2,-0.135714,0,315,50
5625,112.5,-0.137369,0,315,50
5640,112.8,-0.138004,0,315,50
5655,113.1,-0.140915,0,315,50
5670,113.4,-0.142917,0,315,50
5685,113.7,-0.145361,0,315,50
5700,114,-0.145801,0,315,50
5715,114.3,-0.14618,0,315,50
5730,114.6,-0.147166,0,315,50
5745,114.9,-0.147279,0,315,50
5760,115.2,-0.148653,0,315,50
5775,115.5,-0.15191,0,315,50
5790,115.8,-0.152623,0,315,50
5805,116.1,-0.153583,0,315,50
5820,116.4,-0.153976,0,315,50
5835,116.7,-0.1565,0,315,50
5850,117,-0.15782,0,315,50
5865,117.3,-0.158288,0,315,50
5880,117.6,-0.159155,0,315,50
5895,117.9,-0.162977,0,315,50
5910,118.2,-0.162997,0,315,50
5925,118.5,-0.164199,0,315,50
5940,118.8,-0.164142,0,315,50
5955,119.1,-0.165053,0,315,50
5970,119.4,-0.166381,0,315,50
5985,119.7,-0.167191,0,315,50
6000,120,-0.166604,0,315,50
6015,120.3,-0.166806,0,315,50
6030,120.6,-0.166603,0,315,50
6045,120.9,-0.167944,0,315,50
